day of the month,daily_total_of_outbreaks
25/10/1967,1
26/10/1967,0
27/10/1967,0
28/10/1967,1
29/10/1967,1
30/10/1967,9
31/10/1967,11
01/11/1967,15
02/11/1967,11
03/11/1967,12
04/11/1967,17
05/11/1967,11
06/11/1967,16
07/11/1967,22
08/11/1967,32
09/11/1967,26
10/11/1967,27
11/11/1967,30
12/11/1967,35
13/11/1967,33
14/11/1967,39
15/11/1967,46
16/11/1967,45
17/11/1967,70
18/11/1967,51
19/11/1967,52
20/11/1967,62
21/11/1967,78
22/11/1967,75
23/11/1967,76
24/11/1967,81
25/11/1967,69
26/11/1967,80
27/11/1967,55
28/11/1967,54
29/11/1967,39
30/11/1967,36
01/12/1967,46
02/12/1967,41
03/12/1967,55
04/12/1967,55
05/12/1967,58
06/12/1967,37
07/12/1967,25
08/12/1967,29
09/12/1967,39
10/12/1967,27
11/12/1967,37
12/12/1967,24
13/12/1967,35
14/12/1967,33
15/12/1967,25
16/12/1967,29
17/12/1967,24
18/12/1967,22
19/12/1967,20
20/12/1967,22
21/12/1967,21
22/12/1967,20
23/12/1967,19
24/12/1967,18
25/12/1967,13
26/12/1967,21
27/12/1967,20
28/12/1967,15
29/12/1967,11
30/12/1967,11
31/12/1967,7
01/01/1968,16
02/01/1968,8
03/01/1968,6
04/01/1968,11
05/01/1968,3
06/01/1968,9
07/01/1968,6
08/01/1968,4
09/01/1968,8
10/01/1968,8
11/01/1968,6
12/01/1968,8
13/01/1968,3
14/01/1968,6
15/01/1968,4
16/01/1968,2
17/01/1968,2
18/01/1968,2
19/01/1968,2
20/01/1968,5
21/01/1968,3
22/01/1968,3
23/01/1968,5
24/01/1968,5
25/01/1968,2
26/01/1968,1
27/01/1968,0
28/01/1968,1
29/01/1968,4
30/01/1968,1
31/01/1968,0
01/02/1968,1
02/02/1968,0
03/02/1968,2
04/02/1968,0
05/02/1968,2
06/02/1968,0
07/02/1968,1
08/02/1968,0
09/02/1968,2
10/02/1968,1
11/02/1968,1
12/02/1968,1
13/02/1968,2
14/02/1968,0
15/02/1968,0
16/02/1968,0
17/02/1968,1
18/02/1968,0
19/02/1968,0
20/02/1968,2
21/02/1968,3
22/02/1968,0
23/02/1968,0
24/02/1968,0
25/02/1968,0
26/02/1968,0
27/02/1968,0
28/02/1968,0
29/02/1968,0
01/03/1968,0
02/03/1968,0
03/03/1968,0
04/03/1968,0
05/03/1968,0
06/03/1968,0
07/03/1968,0
08/03/1968,0
09/03/1968,0
10/03/1968,0
11/03/1968,0
12/03/1968,0
13/03/1968,0
14/03/1968,0
15/03/1968,0
16/03/1968,0
17/03/1968,0
18/03/1968,1
19/03/1968,0
20/03/1968,0
21/03/1968,1
22/03/1968,1
23/03/1968,0
24/03/1968,0
25/03/1968,1
26/03/1968,0
27/03/1968,0
28/03/1968,0
29/03/1968,1
30/03/1968,1
31/03/1968,0
01/04/1968,0
02/04/1968,0
03/04/1968,1
04/04/1968,0
05/04/1968,0
06/04/1968,0
07/04/1968,2
08/04/1968,1
09/04/1968,1
10/04/1968,0
11/04/1968,0
12/04/1968,0
13/04/1968,0
14/04/1968,1
15/04/1968,1
16/04/1968,0
17/04/1968,1
18/04/1968,3
19/04/1968,0
20/04/1968,1
21/04/1968,0
22/04/1968,1
23/04/1968,1
24/04/1968,0
25/04/1968,0
26/04/1968,1
27/04/1968,0
28/04/1968,0
29/04/1968,1
30/04/1968,0
01/05/1968,0
02/05/1968,0
03/05/1968,0
04/05/1968,0
05/05/1968,1
06/05/1968,0
07/05/1968,0
08/05/1968,0
09/05/1968,0
10/05/1968,0
11/05/1968,0
12/05/1968,0
13/05/1968,0
14/05/1968,0
15/05/1968,0
16/05/1968,0
17/05/1968,1
18/05/1968,0
19/05/1968,0
20/05/1968,0
21/05/1968,0
22/05/1968,0
23/05/1968,0
24/05/1968,0
25/05/1968,0
26/05/1968,0
27/05/1968,0
28/05/1968,0
29/05/1968,0
30/05/1968,0
31/05/1968,0
01/06/1968,0
02/06/1968,0
03/06/1968,0
04/06/1968,1
